Local time,Open,High,Low,Close,Volume
06.01.2020 00:00:00.000 GMT-0500,1.11644,1.11651,1.11636,1.11641,592.76
06.01.2020 00:15:00.000 GMT-0500,1.11642,1.11649,1.11641,1.11644,640.61
06.01.2020 00:30:00.000 GMT-0500,1.11644,1.11647,1.11628,1.11628,496.8499999999999
06.01.2020 00:45:00.000 GMT-0500,1.11628,1.11628,1.11606,1.11623,896.3499999999999
06.01.2020 01:00:00.000 GMT-0500,1.11622,1.11624,1.11582,1.11583,853.26
06.01.2020 01:15:00.000 GMT-0500,1.11582,1.11604,1.11571,1.11603,1159.15
06.01.2020 01:30:00.000 GMT-0500,1.11603,1.11605,1.11574,1.11588,682.3100000000001
06.01.2020 01:45:00.000 GMT-0500,1.11591,1.11615,1.11588,1.11607,1009.3900000000003
06.01.2020 02:00:00.000 GMT-0500,1.11606,1.11636,1.11606,1.11618,1899.9200000000003
06.01.2020 02:15:00.000 GMT-0500,1.11617,1.11650,1.11597,1.11630,2028.8100000000002
06.01.2020 02:30:00.000 GMT-0500,1.11628,1.11656,1.11615,1.11650,1975.8300000000002
06.01.2020 02:45:00.000 GMT-0500,1.11651,1.11667,1.11645,1.11646,1678.5900000000001
06.01.2020 03:00:00.000 GMT-0500,1.11647,1.11670,1.11634,1.11639,2539.41
06.01.2020 03:15:00.000 GMT-0500,1.11638,1.11698,1.11632,1.11667,2144.9400000000005
06.01.2020 03:30:00.000 GMT-0500,1.11666,1.11698,1.11653,1.11692,1786.43
06.01.2020 03:45:00.000 GMT-0500,1.11691,1.11799,1.11676,1.11785,2819.4700000000003
06.01.2020 04:00:00.000 GMT-0500,1.11786,1.11814,1.11767,1.11782,2622.9400000000005
06.01.2020 04:15:00.000 GMT-0500,1.11781,1.11797,1.11751,1.11790,1951.4600000000003
06.01.2020 04:30:00.000 GMT-0500,1.11790,1.11890,1.11786,1.11890,2748.67
06.01.2020 04:45:00.000 GMT-0500,1.11889,1.11936,1.11875,1.11932,2967.9199999999996
06.01.2020 05:00:00.000 GMT-0500,1.11934,1.11954,1.11899,1.11943,2405.8100000000004
06.01.2020 05:15:00.000 GMT-0500,1.11943,1.11996,1.11932,1.11961,2513.4900000000002
06.01.2020 05:30:00.000 GMT-0500,1.11962,1.11982,1.11924,1.11953,1816.47
06.01.2020 05:45:00.000 GMT-0500,1.11954,1.11978,1.11954,1.11964,1707.3300000000002
06.01.2020 06:00:00.000 GMT-0500,1.11963,1.12051,1.11962,1.12030,2757.8700000000003
06.01.2020 06:15:00.000 GMT-0500,1.12029,1.12053,1.11990,1.12024,1857.7400000000002
06.01.2020 06:30:00.000 GMT-0500,1.12024,1.12055,1.12014,1.12017,1910.74
06.01.2020 06:45:00.000 GMT-0500,1.12016,1.12054,1.12009,1.12032,1440.3300000000002
06.01.2020 07:00:00.000 GMT-0500,1.12032,1.12043,1.11969,1.11975,1891.2200000000003
06.01.2020 07:15:00.000 GMT-0500,1.11975,1.11985,1.11958,1.11980,1447.9100000000003
06.01.2020 07:30:00.000 GMT-0500,1.11981,1.11984,1.11951,1.11982,1086.02
06.01.2020 07:45:00.000 GMT-0500,1.11982,1.11998,1.11967,1.11981,1945.93
06.01.2020 08:00:00.000 GMT-0500,1.11982,1.12002,1.11934,1.11935,2496.2599999999998
06.01.2020 08:15:00.000 GMT-0500,1.11937,1.11972,1.11911,1.11958,2154.36
06.01.2020 08:30:00.000 GMT-0500,1.11959,1.12032,1.11950,1.11998,2427.5
06.01.2020 08:45:00.000 GMT-0500,1.11998,1.12000,1.11963,1.11976,1644.0199999999998
06.01.2020 09:00:00.000 GMT-0500,1.11976,1.12002,1.11950,1.11951,1940.8
06.01.2020 09:15:00.000 GMT-0500,1.11950,1.11972,1.11929,1.11946,4539.6601
06.01.2020 09:30:00.000 GMT-0500,1.11947,1.11962,1.11883,1.11895,2792.8499999999995
06.01.2020 09:45:00.000 GMT-0500,1.11896,1.11897,1.11825,1.11831,3309.68
06.01.2020 10:00:00.000 GMT-0500,1.11832,1.11881,1.11828,1.11861,2531.96
06.01.2020 10:15:00.000 GMT-0500,1.11861,1.11881,1.11826,1.11876,2197.1800000000003
06.01.2020 10:30:00.000 GMT-0500,1.11875,1.11902,1.11827,1.11830,3205.33
06.01.2020 10:45:00.000 GMT-0500,1.11828,1.11901,1.11821,1.11886,3421.59
06.01.2020 11:00:00.000 GMT-0500,1.11887,1.11896,1.11810,1.11810,2405.8599999999997
06.01.2020 11:15:00.000 GMT-0500,1.11809,1.11875,1.11809,1.11858,2485.71
06.01.2020 11:30:00.000 GMT-0500,1.11857,1.11879,1.11855,1.11867,2168.2000000000003
06.01.2020 11:45:00.000 GMT-0500,1.11866,1.11873,1.11846,1.11872,1978.98
